City,Year,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
North Lauderdale,2019,44808,230,7,32,71,120,817,81,639,97,2
North Miami,2019,63547,507,4,28,166,309,2425,275,1890,260,5
North Miami Beach,2019,46307,279,1,21,94,163,1566,176,1254,136,3
North Palm Beach,2019,13273,10,0,1,2,7,111,14,80,17,0
North Port,2019,70181,95,1,22,8,64,967,89,847,31,3
North Redington Beach,2019,1485,1,0,1,0,0,7,0,6,1,0
Oakland,2019,3160,17,0,0,3,14,63,36,21,6,0
Oakland Park,2019,45857,294,3,28,86,177,1770,229,1400,141,2
Ocala,2019,60932,493,7,52,108,326,2548,252,2131,165,17
Ocean Ridge,2019,1978,1,0,0,0,1,31,6,20,5,0
Ocoee,2019,49451,155,3,14,38,100,1333,196,1052,85,3
Okeechobee,2019,5741,13,0,0,3,10,196,15,166,15,0
Oldsmar,2019,14990,17,0,5,4,8,215,17,188,10,1
Opa Locka,2019,16501,323,11,10,67,235,1013,188,712,113,4
Orange City,2019,11920,24,0,2,4,18,645,42,573,30,0
Orange Park,2019,8852,13,0,4,1,8,153,19,123,11,1
Orlando,2019,292120,2157,25,204,536,1392,14100,1464,11362,1274,15
Ormond Beach,2019,44005,133,1,13,15,104,1119,158,894,67,2
Oviedo,2019,42684,56,0,17,11,28,292,58,219,15,0
Pahokee,2019,6335,59,0,6,3,50,160,34,116,10,2
Palatka,2019,10450,53,0,1,11,41,499,71,408,20,0
Palm Bay,2019,115520,396,8,71,59,258,1981,334,1499,148,5
Palm Beach,2019,8884,8,0,0,0,8,97,15,69,13,0
Palm Beach Gardens,2019,57236,78,1,9,22,46,1295,71,1173,51,0
Palm Beach Shores,2019,1278,2,0,0,0,2,21,6,13,2,0
Palmetto,2019,13855,78,1,8,8,61,353,39,297,17,0
Palmetto Bay,2019,24730,43,0,9,12,22,649,71,540,38,1
Palm Springs,2019,25303,161,1,5,35,120,957,131,757,69,0
Panama City,2019,37199,228,2,5,42,179,1914,384,1308,222,7
Panama City Beach,2019,13266,133,2,20,16,95,842,90,748,4,0
Parker,2019,4616,21,0,5,2,14,100,25,68,7,0
Parkland,2019,35244,9,0,2,2,5,189,16,151,22,0
Pembroke Park,2019,6798,51,2,4,10,35,216,31,162,23,1
Pembroke Pines,2019,174641,355,7,36,71,241,3344,205,2873,266,1
Pensacola,2019,52801,312,3,35,38,236,1888,287,1508,93,3
Perry,2019,6918,70,0,2,3,65,288,98,174,16,0
Pinellas Park,2019,53589,206,3,40,52,111,2038,192,1753,93,4
Plantation,2019,95474,211,2,10,91,108,2578,161,2152,265,4
Plant City,2019,39725,162,3,6,31,122,1073,90,872,111,7
Pompano Beach,2019,113536,900,8,73,317,502,4277,661,3058,558,8
Ponce Inlet,2019,3315,0,0,0,0,0,32,6,24,2,0
Port Orange,2019,65278,30,0,1,6,23,1178,157,946,75,0
Port St. Joe,2019,3579,7,0,0,1,6,40,11,28,1,0
Port St. Lucie,2019,199433,293,7,43,47,196,1696,177,1438,81,4
Punta Gorda,2019,20458,18,0,0,4,14,278,11,260,7,0
Quincy,2019,7143,55,1,4,11,39,345,242,96,7,1
Redington Beaches,2019,1488,0,0,0,0,0,26,2,20,4,0
Riviera Beach,2019,35130,346,7,20,71,248,1466,186,1141,139,7
Rockledge,2019,28078,62,1,6,7,48,389,59,289,41,3
Royal Palm Beach,2019,40802,57,1,7,10,39,655,31,581,43,1
Safety Harbor,2019,18178,17,1,3,1,12,165,20,139,6,0
Sanford,2019,60844,497,2,62,116,317,2127,315,1689,123,1
Sanibel,2019,7525,3,0,0,0,3,45,3,42,0,0
Sarasota,2019,58470,319,4,28,66,221,1857,264,1462,131,1
Satellite Beach,2019,11219,11,0,2,1,8,69,16,45,8,0
Sea Ranch Lakes,2019,626,0,0,0,0,0,11,0,11,0,0
Sebastian,2019,26232,19,0,6,4,9,297,20,262,15,0
Sebring,2019,11008,57,6,9,13,29,481,131,339,11,2
Seminole,2019,19073,24,0,4,4,16,507,35,457,15,1
Sewall's Point,2019,2244,2,0,0,2,0,12,0,11,1,0
Sneads,2019,1792,4,0,0,0,4,26,15,3,8,0
South Bay,2019,5225,36,1,2,6,27,92,13,73,6,1
South Daytona,2019,13159,30,0,1,6,23,211,54,132,25,0
South Miami,2019,12284,39,1,1,10,27,475,84,366,25,0
South Palm Beach,2019,1486,0,0,0,0,0,3,0,3,0,0
South Pasadena,2019,5137,4,0,0,0,4,130,8,119,3,0
Southwest Ranches,2019,8061,7,0,1,1,5,146,29,94,23,0
Springfield,2019,9517,51,0,5,13,33,309,87,192,30,1
Starke,2019,5402,43,1,0,3,39,212,14,185,13,0
St. Augustine,2019,14778,107,1,19,14,73,440,58,357,25,3
St. Augustine Beach,2019,7137,4,0,1,0,3,85,9,75,1,0
St. Cloud,2019,56560,106,2,16,5,83,636,102,498,36,4
St. Pete Beach,2019,9689,15,0,5,2,8,205,16,177,12,0
St. Petersburg,2019,267696,1594,17,125,297,1155,8592,1044,6765,783,27
Stuart,2019,16424,53,2,13,9,29,402,27,355,20,1
