City,Year,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Sunrise,2017,95342,216,5,8,69,134,2787,234,2306,247,1
Surfside,2017,5849,6,0,0,2,4,96,8,81,7,0
Sweetwater,2017,20824,37,0,1,10,26,564,51,461,52,0
Tallahassee,2017,192455,1503,17,190,348,948,9428,1519,7165,744,12
Tamarac,2017,65988,137,1,12,63,61,1543,251,1140,152,1
Tampa,2017,384360,1785,39,121,406,1219,6702,1235,4900,567,39
Tarpon Springs,2017,25104,86,0,17,16,53,588,62,505,21,3
Tavares,2017,16274,35,1,1,8,25,279,104,163,12,0
Temple Terrace,2017,26854,77,0,7,25,45,635,142,455,38,0
Tequesta,2017,6049,4,0,0,0,4,80,56,20,4,0
Titusville,2017,46425,289,1,35,55,198,1631,387,1071,173,7
Treasure Island,2017,6977,17,0,4,5,8,225,28,191,6,1
Umatilla,2017,3808,5,0,1,1,3,91,23,63,5,0
Valparaiso,2017,5081,8,0,0,0,8,52,18,27,7,0
Venice,2017,22762,28,0,4,1,23,305,44,249,12,5
Vero Beach,2017,17015,46,0,10,7,29,490,94,376,20,0
Village of Pinecrest,2017,19644,20,0,2,6,12,471,76,381,14,0
Virginia Gardens,2017,2487,5,0,0,1,4,51,3,44,4,0
Wauchula,2017,4920,18,0,1,3,14,119,42,72,5,0
Welaka,2017,681,1,0,0,0,1,7,4,3,0,0
Wellington,2017,65156,115,1,11,25,78,1076,79,885,112,6
West Melbourne,2017,21808,42,0,2,12,28,592,80,485,27,1
West Miami,2017,7742,4,0,1,1,2,106,22,76,8,0
Weston,2017,70796,41,0,10,9,22,456,59,347,50,3
West Palm Beach,2017,109459,906,25,66,322,493,5275,847,3907,521,27
West Park,2017,15272,145,2,7,24,112,495,88,348,59,1
White Springs,2017,775,9,0,1,1,7,28,8,16,4,0
Wildwood,2017,7810,44,1,2,6,35,186,68,107,11,0
Williston,2017,2758,18,0,0,2,16,105,11,87,7,0
Wilton Manors,2017,12861,63,0,0,29,34,484,100,348,36,0
Windermere,2017,3400,2,0,0,1,1,45,25,19,1,0
Winter Garden,2017,43295,146,0,9,19,118,1126,140,929,57,5
Winter Haven,2017,39859,192,0,30,24,138,1112,177,862,73,1
Winter Park,2017,30602,88,1,15,18,54,955,158,747,50,6
Winter Springs,2017,35995,45,0,7,8,30,348,74,245,29,0
Zephyrhills,2017,15145,44,0,1,5,38,758,110,611,37,3
